GINGER BEER 500MLs_sold,unique_customers,shop_area_sq_ft,quantity_per_shop,november_sales
62,831,528,2778,114995.0
241,2184,676,6817,270045.0
122,1686,676,5658,251010.0
78,1868,676,6907,291245.0
147,1640,676,4927,208610.0
93,1157,494,3724,154335.0
170,2274,617,7748,331895.0
139,1192,423,4481,193685.0
143,1914,676,7437,309520.0
84,1028,735,3164,138280.0
132,2053,733,6841,274770.0
143,1959,617,6206,254500.0
114,1586,548,5569,237150.0
81,1375,537,4532,168985.0
250,2378,676,7810,352870.0
127,1323,441,4716,191815.0
283,2691,495,8025,317325.0
193,2628,617,9507,424180.0
100,1408,707,4470,184660.0
107,1474,676,5107,202725.0
195,2043,676,7565,328540.0
154,1519,470,5612,221505.0
315,2383,709,7778,238900.0
117,1817,676,5908,257120.0
90,1085,517,3709,151955.0
218,1843,351,6392,274225.0
116,1773,594,5681,251530.0
285,2964,617,10457,465945.0
164,2828,852,9145,397930.0
195,1794,441,5769,261710.0
235,2930,1077,10244,454940.0
138,1716,617,5517,241800.0
243,1897,298,6417,267895.0
67,1510,441,5197,200305.0
185,2319,617,7803,333560.0
201,2055,848,7080,284260.0
84,1297,576,4411,181675.0
225,1790,676,5792,237430.0
85,1677,676,5344,216920.0
74,1348,704,3731,162365.0
108,1967,676,6352,282025.0
157,1172,381,4194,168740.0
127,1712,676,6120,255725.0
137,1265,706,4266,196210.0
222,2205,617,6788,298010.0
120,1831,617,5629,258835.0
173,2035,676,6298,276680.0
121,1496,617,4575,182615.0
101,1255,720,3856,185430.0
165,770,1028,3372,132635.0
107,2018,617,6822,273415.0
9,179,678,467,0.0
238,1788,676,6353,241535.0
203,2439,709,7652,301425.0
168,2126,617,7825,346615.0
211,2972,661,9644,398860.0
136,1952,676,6985,274310.0
114,2111,617,7204,297900.0
80,1232,730,3709,176405.0
156,1548,735,5352,227155.0
186,2251,617,7187,290790.0
307,2214,640,7093,270685.0
134,1920,810,6051,257095.0
143,1857,717,5858,227080.0
250,2191,617,7399,309845.0
311,2994,676,9715,429760.0
184,1789,676,5559,234405.0
77,1976,520,6813,267760.0
192,2605,776,8944,376125.0
181,1595,631,6560,258530.0
418,2594,551,10524,427695.0
255,2252,617,7482,318975.0
185,1580,328,5464,224730.0
113,1477,541,5339,230995.0
116,1518,676,5432,210910.0
228,2739,549,9687,415640.0
272,2744,617,10280,448740.0
197,2284,617,6827,305285.0
213,1939,422,7073,311605.0
105,1225,668,4057,171110.0
139,2085,676,7826,329910.0
428,2431,617,9473,401955.0
207,1746,605,5884,237520.0
127,1868,617,6226,267220.0
172,2435,742,7322,307880.0
127,1582,617,5936,257790.0
189,1445,441,5328,202710.0
85,1005,580,3198,126635.0
143,1451,1021,5279,222040.0
198,1936,617,5500,209850.0
122,1126,676,3692,153435.0
246,2407,676,8687,373160.0
144,1778,565,6135,266485.0
156,2204,555,7389,327355.0
191,2194,617,6798,285140.0
218,2093,606,7563,323215.0
195,1177,336,3629,137980.0
95,1368,705,4326,164470.0
118,1619,516,5829,237420.0
172,2539,691,8308,359325.0
87,1612,545,5965,237735.0
126,1507,676,4579,205090.0
138,1967,617,6409,297990.0
222,1529,310,5620,244680.0
99,1414,715,4325,175725.0
141,1538,530,6454,248235.0
160,1679,411,5221,216835.0
153,1851,597,6131,260865.0
141,2262,676,7835,310590.0
160,2015,617,5967,272830.0
267,1796,774,5443,210605.0
140,1772,676,5813,238210.0
67,1145,554,3844,163105.0
160,2532,617,8305,352055.0
127,743,588,2986,115955.0
163,1923,676,6545,239860.0
136,1800,411,6361,269080.0
158,2369,637,8048,360125.0
214,2295,513,6984,285085.0
48,983,527,3177,140250.0
172,1674,411,6767,268245.0
70,1628,699,5341,224895.0
284,2604,597,9221,370790.0
50,1300,676,4462,199950.0
