shop_id,shop_area_sq_ft,shop_profile
SHOP047,528,Moderate
SHOP009,676,High
SHOP083,676,Low
SHOP117,676,Low
SHOP042,676,Low
SHOP034,494,Low
SHOP100,617,Moderate
SHOP057,423,Moderate
SHOP098,676,Low
SHOP123,735,Moderate
SHOP116,733,Moderate
SHOP005,617,Low
SHOP065,548,Low
SHOP104,537,Moderate
SHOP091,676,High
SHOP015,441,Low
SHOP062,495,High
SHOP084,617,Low
SHOP032,707,Moderate
SHOP041,676,Low
SHOP051,676,High
SHOP066,470,High
SHOP088,709,High
SHOP006,676,Low
SHOP120,517,Low
SHOP036,351,Moderate
SHOP027,594,Moderate
SHOP011,617,High
SHOP077,852,High
SHOP069,441,Low
SHOP016,1077,High
SHOP106,617,Low
SHOP031,298,Moderate
SHOP105,441,Low
SHOP118,617,Moderate
SHOP127,848,High
SHOP095,576,Low
SHOP060,676,Low
SHOP067,676,Low
SHOP071,704,Low
SHOP073,676,Low
SHOP035,381,Moderate
SHOP021,676,Low
SHOP103,706,Moderate
SHOP053,617,Moderate
SHOP085,617,Low
SHOP063,676,High
SHOP048,617,Moderate
SHOP055,720,Moderate
SHOP125,1028,High
SHOP014,617,Moderate
SHOP008,678,Moderate
SHOP089,676,Moderate
SHOP075,709,High
SHOP020,617,Moderate
SHOP086,661,High
SHOP026,676,Moderate
SHOP068,617,Low
SHOP090,730,Moderate
SHOP022,735,High
SHOP052,617,Low
SHOP039,640,Moderate
SHOP003,810,High
SHOP037,717,Low
SHOP059,617,High
SHOP043,676,High
SHOP028,676,Low
SHOP099,520,Low
SHOP033,776,High
SHOP013,631,Moderate
SHOP058,551,High
SHOP113,617,Moderate
SHOP126,328,Moderate
SHOP040,541,Moderate
SHOP025,676,Low
SHOP082,549,High
SHOP111,617,High
SHOP072,617,High
SHOP078,422,Moderate
SHOP112,668,Moderate
SHOP094,676,Low
SHOP018,617,High
SHOP122,605,Moderate
SHOP017,617,High
SHOP045,742,High
SHOP007,617,Low
SHOP119,441,Moderate
SHOP001,580,Low
SHOP054,1021,High
SHOP102,617,Low
SHOP115,676,Moderate
SHOP079,676,Low
SHOP049,565,Low
SHOP121,555,High
SHOP010,617,Moderate
SHOP124,606,High
SHOP012,336,Low
SHOP093,705,High
SHOP004,516,Low
SHOP101,691,High
SHOP046,545,
SHOP024,676,
SHOP023,617,
SHOP097,310,
SHOP044,715,
SHOP030,530,
SHOP038,411,
SHOP029,597,
SHOP096,676,
SHOP092,617,
SHOP081,774,
SHOP076,676,
SHOP080,554,
SHOP074,617,
SHOP107,588,
SHOP108,676,
SHOP019,411,
SHOP002,637,
SHOP114,513,
SHOP087,527,
SHOP050,411,
SHOP061,699,
SHOP056,597,
SHOP070,676,
